,loc,rmk,notam_text,ntm_no
0,FOR PERM NOTAMS PLS REFER PERM NOTAM BULLETIN PUBLISHED ON 01 AND 16 DAY OF EVERY MONTH. THIS BULLETIN CONTAINS:,,,
1,1. INFORMATION EFFECTIVE ON THE DATE MENTIONED ABOVE.,,,
2,2. ADVANCE INFORMATION THAT WILL BECOME EFFECTIVE WITHIN NEXT 24 HOURS.,,,
3,3. NOTAMS ON TAXIWAY AND APRON ARE NOT INCLUDED.,,,
4,4. ANY CHANGES IN PERM NOTAM DURING THE PERIOD BETWEEN 01 TO 15 AND 16 TO END OF THE MONTH,,,
5,LOC RMK NOTAM TXT,NTM NO,,
6,(UPTO 18.12.20) 10 11 17 18 0430-0930 CG DORNIER FRNG PRACTICE. DNG AREA BOUNDED BY COORD 1150.00N 09340.00E 1150.00N,,,
7,VOMF INF,A2869/20,,
8,09410.00E 1200.00N 09340.00E 1200.00N 09410.00E HGT:SFC/5000FT AMSL,,,
9,VOMF INF (UPTO 13.12.20) 0030-1230 VOD179A AND VOD 179B ACT HGT:SFC/6000FT AMSL,A2926/20,,
10,(UPTO 31.12.20) MON-FRI 0230-1730 I)TEMPO RESERVED AREAS TRA 807(B) AND TRA 807(C)  LIKELY TO BE ACT II)FLT CREW MAY,,,
11,VOMF INF,A2913/20,,
12,OBTAIN CURRENT STATUS OF ACT INTRA 807(B) AND TRA 807(C) ON RT FM CHENNAI/  COCHIN/TRIVANDRUM ACC OR MADURAI TWR,,,
13,(UPTO 30.12.20) 0600-1000 1800-2200 RDO SONDE MET UNMANNED FREE HYDROGEN BALLOON WILL BE RELEASED FM INS PARUNDU,,,
14,NAVAL AIR STN. ARP COORD 091915.8N 0785823.6E DUE ONGOING NE MONSOON AND OBS OF FREQUENT FORMATION OF CYCLONIC,,,
15,STORMS IN BAY OF BENGAL AS PER THE FLW DETAILS:,,,
16,1. LAUNCH SITE: 0919N 07858E,,,
17,2. BALLOON FLT ID/NDB: 400-406MHZ,,,
18,3. BALLOON CLASSIFICATION AND DESCRIPTION: LGT WT CAT WT 350GRAMS.,,,
19,VOMF INF 4. COLOUR OF BALLOON: WHITE,A2911/20,,
20,5. DIAMETER OF BALLOON: 1.5M HYDROGEN FILLED,,,
21,6. RATE OF ASCENT: 300M/MIN,,,
22,7. MAX VERTICAL EXTENSION: UPTO 40KM,,,
23,8. EET TO PASS 18KM WITH LOCAL EST: 01HR,,,
24,9. DUR IN THE AIR: 180MIN AFT LAUNCH,,,
25,HGT: GND / 40000M AGL,,,
26,(UPTO 30.12.20) DEC 02 09 23 30 0830-1045 16 0230-0445 0830-1045 GPS-SONDE/OZONE SONDE HIGH ALT BALLOON ASCENT FROM,,,
27,THUMBA EQUATORIAL ROCKET LAUNCHING STN. LAUNCH COORD: 08318N 0765200E DESCRIPTION : WHITE ORDINARY MET BALLOON,,,
28,VOMF INF,A2861/20,,
29,WITH  2M DIAMETER INSTR WT : 900GRAMS MAX ALT EXP: 32KM TRANSPONDER FREQ: 403.5MHZRATE OF ASCENT: 5M/SEC,,,
30,RATE OF DESCENT: 25M/SEC (UPTO 20KM) 5M/SEC (BELOW 20KM) EXPECTED FLOATING TIME : 0215HR HGT:GND/UNL,,,
31,(UPTO 31.05.21) 0430-1230 PARASAILING ACT WILL TAKE PLACE WI THE AREA OF 250M RADIUS FM THE COORD 152332.65N 734824.04E.,,,
32,VOMF INF,A2868/20,,
33,ACFT OPR IN THE VCY TO EXER CTN. HGT:SFC/500FT AMSL,,,
34,(UPTO 31.05.21) 0130-0730 AND 0930-1330 PARAGLIDING AND PARAMOTOR ACT WILL TAKE PLACE WI THE RADIUS OF 01NM FM THE,,,
35,VOMF INF FLW LCA:- 1. 154230.05N0734149.29E 2. 153847.05N0734300.41E 3. 153533.09N0734414.06E 4. 145924.00N0740218.00E,A2832/20,,
36,ACFT OPR IN THE VCY TO EXER CTN. HGT:GND/700FT AGL,,,
37,(UPTO 31.12.20) GPS SONDE/RADIOSONDE MET UNMANNED FREE BALLOON FLT OPS WILL TAKE PLACE FM DEPARTMENT OF SPACE,,,
38,NATIONAL ATMOSPHERIC RESEARCH LABORATORY GADANKI AS FLW:,,,
39,1.LAUNCH SITE : 132848N 0791048E 2.BALLOON FLT ID/NDB : NARL GADANKI/400MHZ-406MHZ 3.CLASSIFICATION AND DESCRIPTION :,,,
40,VOMF INF LGT WT CAT WT 150GRAMS 4.COLOUR : WHITE 5.DIAMETER : 1.5M HYDROGEN FILLED 6.NR OF BALLOONS TO BE LAUNCHED : ONE,A2798/20,,
41,PER DAY 7.EXP DIRECTION AND RATE OF ASCENT : EASTERLY/NORTH EASTERLY 300M PER MIN 8..CRUISING LVL : 300M PER MIN,,,
42,UPTO 35KM VERTICAL HGT 9.EET TO PASS 18KM WITH LCA EST : 01HR 30MIN 10.MAX LIFE SPAN OF BALLOON : 02HR 30MIN,,,
43,HGT:GND/UNL,,,
44,(UPTO 18.02.21) 2300-0200 AND 1100-1400 RDO SONDE MET UNMANNED FREE HYDROGEN BALLOON WILL BE RELEASED FM,,,
45,INS RAJALI NAVAL AIR STN AS PER FLW DETAILS:- LAUNCH SITE : 13.07N079.69E (AROUND 80KM RADIUS) BALLOON FLT ID/NDB :,,,
46,400MHZ-406MHZ CLASSIFICATION AND DESCRIPTION : LIGHT WT CATWT 350 GRAMS COLOUR : OFF WHITE,,,
47,VOMF INF,A2794/20,,
48,DIAMETER : 1.41M HYDROGEN FILLED ALT : 40000M NR OF BALLOONS TO BE LAUNCHED : TWO PER DAY RATE OF ASCENT : 300M/MIN,,,
49,CRUISING LVL : UPTO 40KM VER EET TO PASS 18 KM WITH LCA EST : 01 HR MAX LIFE SPAN OF BALLOON : 03 HR,,,
